Division,reconomy_company,company_name,greater_than_3yrs,customer_signup_year,customer_duration,customer_signup_date,recycle,compliance,reuse,WEEE,batteries,packaging,international_compliance,aggregate_supply,analysis,material_trading,waste_collection,clearance,equipment/rental
Compliance,Valpak,afton chemical ltd,,,,5/27/1997 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,"agc chemicals europe, ltd.",,,,4/11/2022 0:00,0,1,0,0,0,1,1,,,,,,
Compliance,Valpak,agco ltd,,,,8/21/1997 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,agfa graphics ltd,,,,,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,aggregate industries ltd,,,,3/15/2016 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,agrial fresh produce ltd,,,,,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,agrihealth (n.i.) ltd,,,,9/4/2014 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,agrii holdings (uk) ltd,,,,4/9/2014 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,agrovista uk ltd,,,,5/22/1997 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,ahlstrom-munksjo chirnside ltd,,,,5/22/1997 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,air canada,,,,,0,1,0,0,0,0,0,,,,,,
Compliance,Valpak,air products group ltd,,,,3/20/2020 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,airea plc,,,,2/6/2014 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,airwair international ltd,,,,,0,1,0,0,0,0,1,,,,,,
Compliance,Valpak,ajinomoto poland sp z o o.,,,,11/25/2019 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,aks precision ball europe ltd,,,,7/28/1997 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,akw medi-care ltd,,,,10/20/2009 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,akzo nobel aerospace coatings ltd,,,,12/3/2009 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,akzo nobel coatings ltd,,,,3/22/2000 0:00,0,1,0,0,0,1,0,,,,,,
